CODE,SECTOR
5246,TRANSPORTATION & LOGISTICS
5247,CONSUMER PRODUCTS & SERVICES
5248,CONSUMER PRODUCTS & SERVICES
5249,PROPERTY
5252,TELECOMMUNICATIONS & MEDIA
5253,CONSTRUCTION
5254,PLANTATION
5255,ENERGY
5256,ENERGY
5257,ENERGY
5258,FINANCIAL SERVICES
5259,TRANSPORTATION & LOGISTICS
5260,CONSUMER PRODUCTS & SERVICES
5263,CONSTRUCTION
5264,UTILITIES
5265,CONSUMER PRODUCTS & SERVICES
5267,TRANSPORTATION & LOGISTICS
5269,REAL ESTATE INVESTMENT TRUSTS
5270,ENERGY
5271,INDUSTRIAL PRODUCTS & SERVICES
5272,UTILITIES
5273,INDUSTRIAL PRODUCTS & SERVICES
5274,FINANCIAL SERVICES
5275,CONSUMER PRODUCTS & SERVICES
5276,INDUSTRIAL PRODUCTS & SERVICES
5277,INDUSTRIAL PRODUCTS & SERVICES
5278,CONSUMER PRODUCTS & SERVICES
5279,ENERGY
5280,REAL ESTATE INVESTMENT TRUSTS
5281,CONSTRUCTION
5283,PROPERTY
5284,INDUSTRIAL PRODUCTS & SERVICES
5285,PLANTATION
5286,TECHNOLOGY
5288,PROPERTY
